city,area,expenditures,communal_meal_parti,common_purchase_food_parti,community_workshop_parti,work_exchange_parti,fundraising_parti,communal_child_care_parti,prepare_for_fund_parti,communal_construction_parti,property_invasion_parti,security_committee_parti,election_champaign_parti,denomination,religiousness,bins,n_bins,binnr,score2_1,score2_2,score2_1sq,score2_2sq,score2_1cu,score2_2cu,moremoneyold,moremoneynew,winnersvsalwayslosers,losersvsalwayswinners,group,householdsize,ageresponder,schooling_resp,protestant,attendance,attendpermonth,Received_BDH
sto domingo,bamboli,700,0,0,0,0,0,0,0,0,0,0,0,atheist/none,0,39.799999,139,21,3.4960008,3.4960008,12.222021,12.222021,42.728195,42.728195,0,0,0,,always-losers,5,35,12,0,never,0,0
sto domingo,bamboli,180,0,0,0,0,0,0,0,1,0,0,0,catholic,8,36.599998,96,13,.25100175,.25100175,.063001879,.063001879,.015813582,.015813582,0,0,0,,always-losers,6,40,12,0,once a week,4,0
sto domingo,bamboli,268,0,0,0,0,0,0,0,0,0,0,0,catholic,7,35.799999,117,11,-.45100173,0,.20340256,0,-.091734909,0,1,1,,1,always-winners,4,31,6,0,2 to 3 times a week,10,0
sto domingo,bamboli,90,0,0,0,0,0,0,0,0,0,0,0,catholic,10,34.599998,120,8,-1.9660012,0,3.8651605,0,-7.5989099,0,0,1,1,,winners,4,32,9,0,2 to 3 times a week,10,1
quito,la ecuatoriana,275,0,0,0,0,0,0,0,0,0,0,0,catholic,2,37,85,14,.72099912,.72099912,.5198397,.5198397,.37480399,.37480399,0,0,0,,always-losers,3,49,3,0,once a week,4,0
sto domingo,bamboli,150,0,0,0,0,0,0,0,0,0,0,0,other,9,39.400002,133,20,3.1360002,3.1360002,9.8344975,9.8344975,30.840984,30.840984,0,0,0,,always-losers,2,54,6,0,2 to 3 times a week,10,0
quito,chillogallo,300,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,2,39.799999,139,21,3.4999986,3.4999986,12.24999,12.24999,42.874947,42.874947,0,0,0,,always-losers,6,38,6,1,2 to 3 times a month,2.5,0
quito,la ecuatoriana,181,0,0,0,0,1,0,0,1,0,0,0,catholic,10,32.200001,94,2,-4.059999,0,16.483591,0,-66.923363,0,1,1,,1,always-winners,3,63,6,0,once a week,4,1
quito,la ecuatoriana,180,0,0,0,0,0,0,0,1,0,0,0,non-catholic christian,9,36.200001,171,12,-.057000734,0,.0032490836,0,-.00018520016,0,0,1,1,,winners,3,52,1,1,once a week,4,1
quito,la ecuatoriana,224,0,0,0,0,0,0,0,1,0,0,0,catholic,10,39,110,19,2.4629998,2.4629998,6.0663681,6.0663681,14.941463,14.941463,1,0,,0,losers,4,29,6,0,2 to 3 times a month,2.5,0
sto domingo,chiguilpe,200,0,0,0,0,0,0,0,0,0,0,0,other,8,35,146,9,-1.2489983,0,1.5599967,0,-1.9484332,0,1,1,,1,always-winners,5,29,6,0,4 to 6 times a week,20,1
sto domingo,bamboli,200,0,0,0,0,0,0,0,0,0,0,0,other,3,34.200001,121,7,-2.0099998,0,4.0400991,0,-8.1205978,0,0,1,1,,winners,4,53,6,0,2 to 3 times a week,10,1
sto domingo,abraham calacazon,350,0,1,0,0,1,0,1,1,0,1,0,catholic,5,39.799999,139,21,3.2779984,3.2779984,10.745274,10.745274,35.222992,35.222992,0,0,0,,always-losers,5,40,3,0,once a week,4,0
sto domingo,bamboli,400,0,0,0,0,0,0,0,0,0,0,0,catholic,6,37,85,14,.61900175,.61900175,.38316315,.38316315,.23717867,.23717867,0,0,0,,always-losers,3,60,0,0,once a week,4,0
sto domingo,abraham calacazon,150,0,0,0,0,0,0,0,0,0,0,0,catholic,10,32.200001,94,2,-4.2590003,0,18.139084,0,-77.254364,0,0,1,1,,winners,3,50,2,0,4 to 6 times a week,20,1
sto domingo,abraham calacazon,200,0,0,0,0,1,0,0,0,0,0,0,catholic,6,35.799999,117,11,-.47200164,0,.22278555,0,-.10515515,0,0,1,1,,winners,4,55,6,0,only for special occasions,0,1
sto domingo,rio verde,500,0,0,0,0,1,0,0,1,0,0,0,catholic,8,40.599998,144,23,4.1789994,4.1789994,17.464037,17.464037,72.982201,72.982201,0,0,0,,always-losers,3,42,0,0,once a week,4,0
sto domingo,bamboli,350,0,0,0,0,0,0,0,1,0,0,0,other,3,39.400002,133,20,2.815001,2.815001,7.9242306,7.9242306,22.306717,22.306717,0,0,0,,always-losers,6,31,6,0,2 to 3 times a week,10,0
sto domingo,bamboli,300,0,0,0,0,0,0,0,0,0,0,0,catholic,8,38.599998,126,18,2.171,2.171,4.7132411,4.7132411,10.232447,10.232447,0,0,0,,always-losers,3,53,6,0,once a week,4,0
sto domingo,bamboli,200,0,0,0,0,1,0,0,1,0,0,0,catholic,3,35.400002,120,10,-.94000018,0,.88360035,0,-.83058447,0,0,1,1,,winners,4,34,6,0,only for special occasions,0,1
sto domingo,bamboli,280,0,0,0,1,0,1,0,1,0,0,0,catholic,5,33.400002,113,5,-3.086,0,9.5233955,0,-29.389198,0,0,1,1,,winners,6,38,12,0,once a month,1,1
sto domingo,bamboli,350,0,0,0,0,0,0,0,0,0,0,0,other,9,35,146,9,-1.4120003,0,1.9937449,0,-2.8151684,0,1,1,,1,always-winners,7,51,6,0,2 to 3 times a week,10,1
sto domingo,bamboli,160,0,0,0,0,0,0,0,0,0,0,0,atheist/none,0,35.400002,120,10,-.84300005,0,.71064907,0,-.59907722,0,0,1,1,,winners,2,56,5,0,never,0,1
sto domingo,bamboli,200,0,0,0,0,1,0,0,1,0,0,1,catholic,8,32.599998,81,3,-3.7759986,0,14.258165,0,-53.838814,0,0,1,1,,winners,4,63,6,0,once a month,1,1
sto domingo,bamboli,400,1,1,1,1,1,0,0,0,0,0,0,catholic,5,38.599998,126,18,2.033999,2.033999,4.1371517,4.1371517,8.4149628,8.4149628,0,0,0,,always-losers,7,55,6,0,once a week,4,0
sto domingo,bamboli,300,0,0,0,0,0,0,0,0,0,0,0,catholic,1,36.599998,96,13,.18499985,.18499985,.034224946,.034224946,.00633161,.00633161,0,0,0,,always-losers,4,30,9,0,less than once a month,0,0
sto domingo,bamboli,300,0,0,0,0,0,0,0,1,0,0,0,catholic,5,33.400002,113,5,-3.1250014,0,9.7656336,0,-30.51762,0,0,1,1,,winners,6,43,1,0,once a week,4,1
sto domingo,bamboli,350,0,0,0,0,0,0,0,0,0,0,0,catholic,7,39.400002,133,20,2.8210015,2.8210015,7.9580498,7.9580498,22.449671,22.449671,0,0,0,,always-losers,6,62,2,0,once a month,1,0
sto domingo,bamboli,150,0,0,0,0,0,0,0,1,0,0,0,catholic,7,35,146,9,-1.5410019,0,2.374687,0,-3.6593971,0,0,1,1,,winners,2,49,2,0,2 to 3 times a month,2.5,1
sto domingo,bamboli,500,0,0,0,0,0,0,0,0,0,0,0,catholic,5,40.599998,144,23,4.1480012,4.1480012,17.205914,17.205914,71.370148,71.370148,0,0,0,,always-losers,4,36,8,0,2 to 3 times a month,2.5,0
sto domingo,bamboli,30,0,0,0,0,0,0,0,0,0,0,0,atheist/none,0,39,110,19,2.7680001,2.7680001,7.6618247,7.6618247,21.207932,21.207932,0,0,0,,always-losers,1,58,6,0,never,0,0
sto domingo,bamboli,400,0,0,0,0,0,0,0,0,0,0,0,catholic,10,36.599998,96,13,.15099946,.15099946,.022800837,.022800837,.0034429138,.0034429138,0,0,0,,always-losers,6,28,12,0,once a week,4,0
sto domingo,bamboli,500,0,0,0,0,0,0,0,1,0,0,0,catholic,10,37,85,14,.59100187,.59100187,.34928322,.34928322,.20642702,.20642702,0,0,0,,always-losers,3,52,6,0,2 to 3 times a month,2.5,0
sto domingo,bamboli,50,0,0,0,0,0,0,0,1,0,0,0,catholic,7,38.200001,139,17,1.8570007,1.8570007,3.4484515,3.4484515,6.4037771,6.4037771,0,0,0,,always-losers,2,56,3,0,every day,30,0
sto domingo,bamboli,350,0,0,0,0,1,0,0,1,0,0,0,catholic,7,35.799999,117,11,-.51799929,0,.26832327,0,-.13899127,0,0,1,1,,winners,4,27,8,0,once a week,4,1
sto domingo,abraham calacazon,1200,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,7,35.799999,117,11,-.64499819,0,.41602266,0,-.26833388,0,0,1,1,,winners,16,56,6,1,2 to 3 times a month,2.5,1
sto domingo,bamboli,50,0,0,0,0,0,0,0,0,0,0,0,catholic,8,34.200001,121,7,-2.0059981,0,4.0240283,0,-8.0721941,0,0,1,1,,winners,2,35,2,0,never,0,1
sto domingo,bamboli,150,0,0,0,0,0,0,0,0,0,0,0,catholic,5,33,102,4,-3.5949988,0,12.924017,0,-46.461826,0,0,1,1,,winners,4,55,2,0,once a month,1,1
sto domingo,bamboli,350,0,0,0,0,0,0,0,0,0,0,0,catholic,5,36.599998,96,13,.083998106,.083998106,.0070556817,.0070556817,.00059266394,.00059266394,0,0,0,,always-losers,6,55,8,0,once a week,4,0
sto domingo,abraham calacazon,250,0,0,0,0,0,0,0,0,0,0,0,catholic,6,37.799999,110,16,1.4839996,1.4839996,2.2022548,2.2022548,3.2681453,3.2681453,0,0,0,,always-losers,4,43,8,0,only for special occasions,0,0
