city,area,expenditures,communal_meal_parti,common_purchase_food_parti,community_workshop_parti,work_exchange_parti,fundraising_parti,communal_child_care_parti,prepare_for_fund_parti,communal_construction_parti,property_invasion_parti,security_committee_parti,election_champaign_parti,denomination,religiousness,bins,n_bins,binnr,score2_1,score2_2,score2_1sq,score2_2sq,score2_1cu,score2_2cu,moremoneyold,moremoneynew,winnersvsalwayslosers,losersvsalwayswinners,group,householdsize,ageresponder,schooling_resp,protestant,attendance,attendpermonth,Received_BDH
sto domingo,santo domingo,20,0,0,0,0,0,0,0,0,0,0,0,catholic,10,37,85,14,.49199906,.49199906,.24206308,.24206308,.1190948,.1190948,1,0,,0,losers,1,57,3,0,once a week,4,0
sto domingo,santo domingo,600,0,0,0,0,0,0,0,0,0,0,0,catholic,10,36.200001,171,12,-.27499923,0,.075624578,0,-.020796701,0,1,1,,1,always-winners,3,32,6,0,only for special occasions,0,1
sto domingo,santo domingo,147,0,0,0,0,0,0,0,0,0,0,0,catholic,7,37,85,14,.65199888,.65199888,.42510253,.42510253,.27716637,.27716637,1,0,,0,losers,2,62,6,0,2 to 3 times a week,10,0
sto domingo,bamboli,280,0,0,0,0,0,0,0,0,0,0,0,catholic,6,35.400002,120,10,-1.1740013,0,1.3782791,0,-1.6181016,0,1,1,,1,always-winners,5,36,12,0,only for special occasions,0,0
sto domingo,santo domingo,400,0,0,0,0,0,0,0,0,0,0,0,catholic,8,37.799999,110,16,1.5069984,1.5069984,2.2710443,2.2710443,3.4224601,3.4224601,1,0,,0,losers,10,45,3,0,2 to 3 times a month,2.5,0
sto domingo,santo domingo,300,0,0,0,0,0,0,0,0,0,0,0,catholic,4,37.400002,103,15,1.0489982,1.0489982,1.1003973,1.1003973,1.1543149,1.1543149,0,0,0,,always-losers,4,38,6,0,once a week,4,0
quito,la ecuatoriana,213,0,0,0,0,0,0,0,1,0,0,0,catholic,7,37.400002,103,15,.83899915,.83899915,.70391959,.70391959,.59058791,.59058791,1,0,,0,losers,4,39,9,0,2 to 3 times a month,2.5,0
quito,la ecuatoriana,440,0,0,0,0,0,0,0,0,0,0,0,catholic,10,37.799999,110,16,1.5100006,1.5100006,2.2801018,2.2801018,3.442955,3.442955,0,0,0,,always-losers,5,50,1,0,once a week,4,0
quito,la ecuatoriana,322,0,0,0,0,0,0,0,1,0,0,0,catholic,7,37.799999,110,16,1.5030006,1.5030006,2.2590108,2.2590108,3.3952947,3.3952947,1,0,,0,losers,4,23,8,0,2 to 3 times a month,2.5,0
quito,la ecuatoriana,244,0,0,0,0,0,0,0,1,0,0,0,catholic,3,40.599998,144,23,4.1869988,4.1869988,17.53096,17.53096,73.402107,73.402107,1,0,,0,losers,4,29,8,0,once a month,1,0
